feature_index,importance
2672,0.118064255
2207,0.06992125
2204,0.023104247
2211,0.018512929
2208,0.013503343
91,0.006936244
2650,0.006611591
2671,0.005759709
1674,0.0055158585
1144,0.0054782126
2665,0.005330806
2210,0.0047336584
1677,0.0028355487
2213,0.002102664
1680,0.0019660883
2610,0.0018298334
2082,0.0017549378
1344,0.0017403127
2085,0.0017032867
81,0.0016464104
2612,0.0016114156
2615,0.0015022084
1681,0.0014424733
96,0.0014324854
2215,0.0013865271
2667,0.0013397539
302,0.0013264072
505,0.0013169398
2110,0.0012741454
2216,0.001257582
2065,0.0012526521
1685,0.0011069201
621,0.0010951083
2123,0.001091485
2,0.0010726312
532,0.0010653422
1011,0.001017024
1551,0.0009776743
2660,0.0009592944
3,0.0009349173
2652,0.00092606916
1153,0.0009209742
2609,0.00091112964
2604,0.0008794302
2105,0.0008786852
2080,0.00087045523
95,0.0008701591
2513,0.00085053383
2675,0.0008469823
1671,0.0008455101
2077,0.00084256515
832,0.00083379983
2625,0.0008240218
1151,0.0008134303
396,0.0008067133
2670,0.0008053164
2186,0.000794249
481,0.0007890948
2686,0.000770022
1,0.00076598034
169,0.00073998154
88,0.0007359349
1891,0.00072250783
476,0.00072187587
2421,0.0007147812
290,0.0007144733
2071,0.00071209663
833,0.0007110189
1155,0.0007071827
1593,0.0007055434
398,0.0007033468
2836,0.00068823894
611,0.0006862032
2075,0.00068346947
2635,0.0006813687
1676,0.00068033295
1135,0.00067946303
2702,0.0006775896
2662,0.00067713147
2122,0.0006757536
2492,0.0006746774
1545,0.0006698172
626,0.00066462386
359,0.00066365354
2120,0.000662126
2664,0.00066052075
2422,0.00065936876
702,0.0006559216
1622,0.00065251125
1128,0.00064976985
2711,0.000649457
839,0.0006471762
1892,0.0006457406
2063,0.0006455955
1361,0.00064553163
1062,0.00064357644
2661,0.00064316514
83,0.0006390337
1032,0.00063668477
620,0.00062750175
2217,0.00062677433
1683,0.0006238829
2655,0.00062194635
2295,0.00061976
2640,0.0006120882
625,0.0006049729
1687,0.0006029492
1063,0.0006025307
806,0.0006019463
518,0.00060062687
890,0.00059997465
2663,0.00059613585
2201,0.00059362967
892,0.0005905512
2401,0.00058772805
2516,0.00058555166
84,0.0005843903
885,0.00058301043
531,0.00058295496
830,0.00058110553
970,0.00057104055
1988,0.0005698048
1562,0.0005691907
1555,0.0005628344
2486,0.00056015985
1967,0.0005562632
1579,0.0005550053
705,0.00055386237
2666,0.0005444579
1061,0.00054304744
405,0.0005405896
2651,0.0005371109
539,0.0005366561
2371,0.0005338784
2139,0.00053122
2189,0.00053008675
2721,0.00052713195
2700,0.0005253498
1875,0.00052425783
1452,0.000523338
2111,0.00052298355
1871,0.0005227729
1874,0.0005200662
504,0.00051988737
2611,0.0005181236
293,0.0005175162
2092,0.00051723333
1880,0.00051580847
378,0.0005156728
799,0.0005156551
1600,0.0005133456
1068,0.000513041
1553,0.00051039056
1444,0.0005081723
301,0.00050813233
1060,0.0005078444
1693,0.0005022278
93,0.0005018058
619,0.0004997519
271,0.00049854873
1667,0.0004980481
2152,0.0004978856
2622,0.00049515645
456,0.00049363123
2624,0.00049336615
2405,0.0004914881
2129,0.0004910486
1908,0.0004908828
441,0.00049018784
1020,0.00048873003
2637,0.0004884131
1362,0.00048803346
1090,0.00048717044
1599,0.00048698758
2673,0.0004866252
1335,0.00048655327
1432,0.00048621572
1591,0.000485802
981,0.00048538894
2601,0.00048430843
2643,0.0004828924
2286,0.00047864276
2846,0.0004777249
1983,0.00047771135
613,0.00047602452
75,0.00047522955
1150,0.00047518933
1015,0.00047328713
2134,0.00047326786
604,0.0004728562
1143,0.00047244778
2641,0.00047109844
502,0.0004710923
1254,0.00047031592
2083,0.00047015358
2196,0.0004697328
1575,0.0004690322
2669,0.00046760277
2658,0.0004670076
393,0.00046694416
2311,0.00046680262
1012,0.00046406442
2379,0.00046404437
2276,0.000462763
357,0.00046168503
303,0.00046129755
2674,0.00046108448
2701,0.00046082446
2081,0.00046066218
1347,0.00045779286
1234,0.00045762263
897,0.0004574887
2195,0.00045748695
2392,0.00045722656
407,0.00045719053
2646,0.00045716614
74,0.00045462447
344,0.00045461848
2605,0.0004542256
2620,0.00045420168
2175,0.00045408323
432,0.0004528955
1419,0.0004520118
1235,0.0004509603
1665,0.00045095064
98,0.00045064857
157,0.00045032243
1660,0.00044961972
1339,0.00044921075
2495,0.0004489313
1008,0.00044653876
1592,0.00044598553
63,0.00044565962
2171,0.00044473997
2218,0.0004436044
1030,0.00044342087
1601,0.00044332226
1448,0.00044261976
1944,0.00044252074
540,0.00044218276
314,0.00044134527
1226,0.0004402598
78,0.00043888792
1073,0.0004385382
2659,0.00043840206
802,0.0004382986
1981,0.00043795488
2240,0.0004374314
1682,0.00043653089
741,0.00043424388
699,0.00043368436
1044,0.00043272632
914,0.00043064228
592,0.00042990365
2112,0.00042967862
204,0.00042844983
232,0.0004284004
902,0.0004282999
1675,0.00042800623
2517,0.00042491962
30,0.00042470408
55,0.00042315756
120,0.000423023
184,0.0004225599
962,0.00042207015
1323,0.00042173878
2279,0.0004214417
1774,0.00042116805
2623,0.00042084817
2476,0.00042052654
1686,0.00041739744
1480,0.00041459387
628,0.0004135962
80,0.00041293597
921,0.00041284555
273,0.00041284072
62,0.0004127284
1345,0.00041262625
2494,0.0004122971
1066,0.00041179534
606,0.00041169598
1045,0.00041151224
2490,0.00041057618
2602,0.00041004474
2654,0.00040985516
896,0.0004098479
1053,0.00040952332
1141,0.0004083765
2677,0.0004070952
1846,0.00040697266
1222,0.00040643787
140,0.00040472782
272,0.00040460323
623,0.00040444446
811,0.00040369193
900,0.00040315092
2656,0.00040173414
375,0.00040168007
1759,0.0004014351
598,0.00040080753
2707,0.0004006063
1034,0.00040012816
280,0.00039978416
44,0.00039976946
2722,0.00039943843
710,0.00039910237
2437,0.0003987662
2710,0.00039833988
2290,0.00039827864
2657,0.00039820615
2534,0.00039698696
2410,0.0003967999
2133,0.0003966372
1070,0.0003964264
2508,0.0003960534
2411,0.00039516625
2483,0.0003948527
485,0.00039412233
2197,0.0003940073
2515,0.0003937308
2761,0.00039357535
269,0.00039347852
2074,0.0003933045
908,0.00039280363
898,0.0003920687
1132,0.0003917351
1859,0.0003904878
1580,0.00039042663
2481,0.0003902638
831,0.00039024578
2400,0.00039015367
1148,0.00038971272
1190,0.00038959316
171,0.00038950026
300,0.00038890287
2639,0.00038889714
2764,0.0003879719
2512,0.0003876383
282,0.00038661886
922,0.00038639977
2413,0.0003863081
1145,0.00038463742
1985,0.00038453218
1233,0.0003835802
1147,0.00038345854
1349,0.00038341313
1436,0.00038334238
596,0.00038328537
800,0.00038307512
1709,0.0003824229
2725,0.0003823438
522,0.000382197
544,0.00038195605
1229,0.0003815179
166,0.0003810678
1078,0.000380321
2389,0.00038025752
1766,0.00037991712
1730,0.0003798701
2313,0.0003794518
835,0.00037943549
454,0.0003788106
1762,0.0003787319
2503,0.0003783426
912,0.00037805486
2504,0.00037614992
1595,0.00037546398
69,0.00037512727
610,0.0003745521
2190,0.00037433713
386,0.00037379493
1989,0.00037360235
354,0.00037331905
361,0.00037222527
249,0.00037203624
2121,0.00037197562
1116,0.00037187265
319,0.00037170708
1652,0.00037050946
599,0.0003704482
1258,0.00037039246
2632,0.0003703832
2135,0.00037029997
804,0.00036955194
2676,0.00036895362
1440,0.0003689026
1670,0.00036890083
2717,0.00036884408
1236,0.00036861305
218,0.00036856867
2579,0.0003684932
2296,0.00036819177
1274,0.00036793962
1971,0.0003669527
1552,0.0003667227
1422,0.00036612645
1946,0.0003657651
770,0.0003654727
1159,0.00036510557
2493,0.00036494684
2203,0.00036419046
587,0.00036377792
2212,0.00036366703
1056,0.00036325082
1139,0.0003628234
2599,0.00036269237
2668,0.0003621712
54,0.00036208553
2293,0.0003609209
500,0.00036088462
1658,0.00036033115
188,0.00036025487
177,0.00035985728
1427,0.00035953298
1951,0.00035896804
1541,0.00035866603
519,0.00035865107
395,0.00035853725
1393,0.0003585097
1872,0.00035833652
240,0.00035801527
510,0.0003579704
1763,0.00035790275
1313,0.00035756707
2587,0.00035730453
520,0.0003572641
1127,0.00035716104
384,0.0003570047
1542,0.0003566613
2180,0.00035664596
501,0.00035654823
2397,0.00035613246
810,0.00035558955
1764,0.00035490075
840,0.00035472467
2826,0.00035376867
1976,0.00035374108
907,0.00035368523
1428,0.00035355953
1360,0.00035306503
1578,0.00035275664
2561,0.00035238694
1058,0.00035233397
814,0.00035208525
1656,0.00035199555
2069,0.00035196837
2653,0.00035184217
2518,0.0003514696
543,0.0003511583
934,0.0003509984
1602,0.00035083998
923,0.00035070736
1022,0.00035058107
1100,0.0003504504
2098,0.00035038692
2830,0.00034986957
61,0.0003497402
2582,0.00034895804
2482,0.0003489479
366,0.00034856432
1577,0.00034835195
2730,0.00034814846
2300,0.00034734292
1363,0.00034720392
2390,0.00034704997
1334,0.00034690995
1069,0.00034656396
1251,0.00034527012
2715,0.00034526968
533,0.00034483173
1808,0.0003447251
1237,0.00034433877
2094,0.00034383743
1678,0.0003436761
109,0.0003436399
360,0.000342249
2107,0.00034145813
1560,0.000341425
2763,0.00034138456
267,0.00034136092
1124,0.00034125827
853,0.00034082562
1014,0.0003407533
2383,0.00034062396
264,0.00034059814
1582,0.00034047297
1048,0.00034034
614,0.000339659
899,0.00033952092
373,0.0003394113
526,0.00033918148
2696,0.0003390301
1960,0.00033864603
468,0.00033837973
4,0.00033824588
725,0.00033823194
2404,0.00033800615
2327,0.00033792647
368,0.0003379164
2613,0.00033788243
2586,0.00033762347
2688,0.00033738723
2762,0.00033716185
2289,0.00033657817
1443,0.0003360079
2078,0.0003358873
1972,0.0003354308
2485,0.00033486486
2594,0.00033435176
247,0.00033418473
14,0.00033403852
1666,0.0003337268
2394,0.0003334248
1433,0.00033330722
2719,0.00033329942
2837,0.00033322384
891,0.00033308254
2776,0.00033301002
382,0.0003328027
257,0.00033223312
2278,0.00033120968
1953,0.00033112755
2281,0.0003310768
2704,0.00033075002
1511,0.00032991832
1684,0.00032974014
2109,0.00032965365
370,0.0003296502
845,0.000329482
820,0.00032929235
2506,0.00032917634
1627,0.00032873265
1822,0.00032847945
2124,0.0003283028
20,0.00032760858
304,0.00032748905
1404,0.00032659495
2633,0.00032650903
1603,0.00032574093
2103,0.00032553135
2051,0.00032536843
17,0.00032525515
2412,0.00032522777
527,0.0003251045
763,0.0003248088
1550,0.00032473903
73,0.00032465288
2106,0.00032445684
2885,0.00032432313
100,0.00032394863
94,0.00032381015
285,0.000323193
2423,0.00032276992
1157,0.00032275866
2769,0.0003226725
1152,0.0003221508
2222,0.0003220515
1149,0.00032192783
2205,0.00032176016
2282,0.00032139153
2876,0.0003208079
1136,0.0003205628
2743,0.00032046862
97,0.000319746
1949,0.00031891154
2787,0.00031847527
2182,0.0003178449
2407,0.00031784285
1581,0.0003177177
1574,0.00031740806
385,0.0003173784
2187,0.00031731062
963,0.0003172139
1230,0.00031711688
1218,0.00031697133
214,0.00031687695
2131,0.000316781
528,0.0003163918
1996,0.00031630107
569,0.00031627016
1861,0.00031592042
2396,0.00031563616
2556,0.00031509384
2785,0.00031463668
440,0.00031461706
2593,0.00031455027
79,0.00031437317
1947,0.00031434948
634,0.00031402774
295,0.00031400428
90,0.00031333044
906,0.00031325826
2714,0.00031296862
1628,0.00031287342
1961,0.0003125263
1751,0.0003125246
1974,0.00031241894
549,0.00031232843
792,0.00031205587
506,0.0003117935
1651,0.000311521
2030,0.00031148692
742,0.00031114218
2780,0.00031016825
1501,0.00031009788
362,0.00030990227
355,0.000309501
509,0.00030935815
18,0.00030932817
2687,0.00030923347
1380,0.0003091758
2125,0.0003091718
2835,0.00030909595
2378,0.0003089938
1803,0.0003089211
57,0.00030882505
2644,0.0003087116
1952,0.0003086358
2430,0.00030862246
513,0.0003086122
1986,0.00030850325
1378,0.0003084569
276,0.00030841323
1864,0.00030807976
2552,0.00030797432
1350,0.0003078548
2356,0.00030779565
1608,0.0003067851
517,0.0003067815
1619,0.00030674392
617,0.00030664692
2214,0.00030657696
2242,0.00030649244
371,0.00030630897
796,0.0003062112
1146,0.00030617343
2126,0.00030604115
130,0.0003048885
173,0.00030460214
1137,0.00030459467
2827,0.00030457226
274,0.000304273
1866,0.0003041198
