fold,test_day,validation_day,n_features_before_h8,n_features_after_h8,n_final_classifier_features,threshold,validation_threat_recall,validation_false_alerts,raw_accuracy,raw_threat_precision,raw_threat_recall,raw_threat_f1,raw_roc_auc,raw_pr_auc,raw_brier,calibrated_brier,final_accuracy,final_threat_precision,final_threat_recall,final_threat_f1,final_non_threat_f1,final_macro_f1,final_weighted_f1,final_roc_auc,final_pr_auc,final_brier_raw,final_brier_calibrated,false_proximity_alerts,missed_threats,correct_threats,correct_non_threats,total,tp,fn,fp,tn,fold_runtime_seconds
1,2023-06-16,2023-06-25,2900,1000,1001,0.32,0.9008403361344538,123,0.9027601924537858,0.8741410488245931,0.851956291857596,0.8629061049625134,0.945347653933955,0.9380788286989461,0.07686759627742687,0.07183684339632469,0.9004811344644214,0.8708860759493671,0.848783926683116,0.8596929667975723,0.9228958210712184,0.8912943939343954,0.9001930485244555,0.945347653933955,0.9380788286989461,0.07686759627742687,0.07183684339632469,357,429,2408,4704,7898,2408,429,357,4704,2072.2848093509674
2,2023-06-17,2023-06-25,2900,1000,1001,0.35000000000000003,0.9025210084033614,117,0.9240947075208914,0.8929618768328446,0.8706218727662616,0.8816503800217155,0.9669498863672942,0.9531195731204428,0.0617330449352672,0.057739888930000254,0.9202646239554317,0.8862056348335163,0.8656182987848463,0.8757909962032182,0.941287069481241,0.9085390328422296,0.9200175693614746,0.9669498863672942,0.9531195731204428,0.0617330449352672,0.057739888930000254,311,376,2422,5507,8616,2422,376,311,5507,1843.151400566101
3,2023-06-18,2023-06-25,2900,1000,1001,0.34,0.9025210084033614,131,0.917246982358403,0.8583539385376192,0.8862144420131292,0.8720617261797955,0.9670058525410969,0.9509383603373548,0.06057719964002262,0.05722450637174306,0.9162024141132776,0.8581560283687943,0.8825674690007294,0.870190578928443,0.9381319622964868,0.9041612706124649,0.9165099482301943,0.9670058525410969,0.9509383603373548,0.06057719964002262,0.05722450637174306,400,322,2420,5474,8616,2420,322,400,5474,1835.345263004303
4,2023-06-19,2023-06-25,2900,1000,1001,0.27,0.9016806722689076,130,0.9066852367688022,0.9045680687471732,0.7713073659853451,0.832639467110741,0.9328507977422196,0.9035283996333818,0.08256477172259086,0.0791236946514445,0.9035515320334262,0.8986425339366516,0.7659082144234477,0.8269831355402874,0.9331402365435675,0.8800616860419275,0.9011920746469211,0.9328507977422196,0.9035283996333818,0.08256477172259086,0.0791236946514445,224,607,1986,5799,8616,1986,607,224,5799,1764.7284216880798
5,2023-06-20,2023-06-25,2900,1000,1001,0.3,0.9058823529411765,148,0.8997214484679665,0.9158163265306123,0.7987921169739352,0.8533106960950764,0.956929143650101,0.9447895138811303,0.08517839281174187,0.0806249246386393,0.8957753017641596,0.9111192392099488,0.7917991099809282,0.8472789115646259,0.9208949964763918,0.8840869540205089,0.894015214311534,0.956929143650101,0.9447895138811303,0.08517839281174187,0.0806249246386393,243,655,2491,5227,8616,2491,655,243,5227,1770.9895253181458
6,2023-06-21,2023-06-25,2900,1000,1001,0.34,0.9100840336134454,145,0.9359904975584005,0.8765792031098154,0.8864864864864865,0.881505008551185,0.9723391709678249,0.9530741827115923,0.04874548631901035,0.04585713874261544,0.933614887158506,0.8714839961202716,0.8830466830466831,0.8772272394434952,0.9545084561816044,0.9158678478125498,0.9337525797051558,0.9723391709678249,0.9530741827115923,0.04874548631901035,0.04585713874261544,265,238,1797,5277,7577,1797,238,265,5277,1818.9296667575836
7,2023-06-22,2023-06-25,2900,1000,1001,0.16,0.9252100840336135,189,0.8189935064935064,0.7027439024390244,0.9427402862985685,0.8052401746724891,0.9537757997616473,0.9520358976235592,0.0790023865038438,0.07397603589928213,0.825487012987013,0.7117465224111282,0.941717791411043,0.8107394366197183,0.8381024096385542,0.8244209231291362,0.8272416192114351,0.9537757997616473,0.9520358976235592,0.0790023865038438,0.07397603589928213,373,57,921,1113,2464,921,57,373,1113,1919.7655217647552
8,2023-06-23,2023-06-25,2900,1000,1001,0.24000000000000002,0.9,116,0.9187558031569174,0.9127864005912787,0.841854124062713,0.875886524822695,0.9569341961016349,0.9474900635965343,0.06851756796228539,0.06685683910953823,0.9163184772516249,0.9096630877452795,0.8374233128834356,0.8720496894409938,0.9378287488143485,0.9049392191276712,0.915429055197656,0.9569341961016349,0.9474900635965343,0.06851756796228539,0.06685683910953823,244,477,2457,5438,8616,2457,477,244,5438,1818.6642308235168
9,2023-06-24,2023-06-25,2900,1000,1001,0.34,0.9033613445378151,130,0.9251392757660167,0.8914985114125041,0.8947543160690571,0.8931234465617233,0.9706463818767282,0.9573171503949247,0.06134040010907147,0.058961595061244876,0.9202646239554317,0.8842975206611571,0.8881142098273572,0.8862017558389929,0.9386333184457347,0.9124175371423637,0.9203041788715116,0.9706463818767282,0.9573171503949247,0.06134040010907147,0.058961595061244876,350,337,2675,5254,8616,2675,337,350,5254,1793.6313557624817
10,2023-06-25,2023-06-24,2900,1000,1001,0.27,0.9106905710491368,414,0.9497272018706158,0.880718954248366,0.9058823529411765,0.8931234465617233,0.9773908650218078,0.9483509982170311,0.03799357040815044,0.03725165957718922,0.950701480904131,0.8843314191960624,0.9058823529411765,0.8949771689497716,0.9677912157861235,0.9313841923679476,0.9509072103817473,0.9773908650218078,0.9483509982170311,0.03799357040815044,0.03725165957718922,141,112,1078,3801,5132,1078,112,141,3801,1853.8305525779724
