day,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
2023-06-16,0.9263157894736842,0.8073394495412844,0.8627450980392157,2834.0,0.8993362831858407,0.9640316205533597,0.9305608546356352,5060.0,0.9077780592855333,0.9128260363297624,0.8856855350473221,0.8966529763374255,7894.0,0.9090221105002249,0.9077780592855333,0.9062145341144479,7894.0
2023-06-17,0.9122739515198153,0.847997138769671,0.8789620018535681,2796.0,0.9293198070846499,0.9607977991746905,0.9447966861104067,5816.0,0.9241755689735253,0.9207968793022325,0.9043974689721808,0.9118793439819874,8612.0,0.9237856440378226,0.9241755689735253,0.9234225828612055,8612.0
2023-06-18,0.9042264443582784,0.8510948905109489,0.8768565519834556,2740.0,0.9323719542516161,0.9579359673024523,0.9449811003779924,5872.0,0.9239433348815607,0.9182991993049472,0.9045154289067006,0.910918826180724,8612.0,0.9234171589534572,0.9239433348815607,0.9233065459654249,8612.0
2023-06-19,0.9422784810126582,0.7182554998070243,0.8151554971528691,2591.0,0.8900105469338556,0.9810662680617838,0.9333227998103966,6021.0,0.9019972131908964,0.9161445139732569,0.849660883934404,0.8742391484816328,8612.0,0.9057358392234721,0.9019972131908964,0.8977710718510777,8612.0
2023-06-20,0.9370873786407767,0.7677378300986318,0.8440013990905911,3143.0,0.8790790127546795,0.970378496982995,0.9224752303146184,5469.0,0.8964235949837436,0.9080831956977281,0.8690581635408134,0.8832383147026048,8612.0,0.9002495067142712,0.8964235949837436,0.8938357445346465,8612.0
2023-06-21,0.9035897435897436,0.8666994589276931,0.8847602309816721,2033.0,0.95180508625289,0.9660649819494584,0.958882020962107,5540.0,0.9393899379374092,0.9276974149213169,0.9163822204385758,0.9218211259718896,7573.0,0.9388614982911606,0.9393899379374092,0.938983750919822,7573.0
2023-06-22,0.8585271317829457,0.9059304703476483,0.881592039800995,978.0,0.9355742296918768,0.9014844804318488,0.9182130584192439,1482.0,0.9032520325203252,0.8970506807374112,0.9037074753897485,0.8999025491101195,2460.0,0.9049433102793016,0.9032520325203252,0.9036539705295498,2460.0
2023-06-23,0.9541396103896104,0.8012951601908657,0.8710633567988144,2934.0,0.9051724137931034,0.9800986262768581,0.9411466260781329,5678.0,0.9191825359962843,0.9296560120913568,0.8906968932338619,0.9061049914384737,8612.0,0.9218549213191312,0.9191825359962843,0.9172701383789318,8612.0
2023-06-24,0.9077503429355281,0.8788180610889774,0.8930499325236168,3012.0,0.9359199438202247,0.9519642857142857,0.9438739376770539,5600.0,0.92638179284719,0.9218351433778764,0.9153911734016316,0.9184619351003354,8612.0,0.9260677796464315,0.92638179284719,0.9260985192467063,8612.0
2023-06-25,0.9118673647469459,0.8781512605042017,0.8946917808219178,1190.0,0.9635861376192868,0.9743524631792788,0.968939393939394,3938.0,0.9520280811232449,0.9377267511831163,0.9262518618417402,0.931815587380656,5128.0,0.9515843163014073,0.9520280811232449,0.9517095461215709,5128.0
macro avg,0.9158056238449988,0.8323319219786945,0.8702877889046714,2425.1,0.9222175415388023,0.9608174989627012,0.9407191708324982,5047.6,0.9194552151739714,0.9190115826919005,0.8965747104706979,0.9055034798685849,7472.7,0.920552208526668,0.9194552151739714,0.9182266404523383,7472.7
fold-weighted avg,0.9210150445831813,0.8228939012824213,0.8676389706495914,24251.0,0.9198774541808756,0.965330057849275,0.9417399191783605,50476.0,0.9191055441808181,0.9198856504907185,0.8944330810722027,0.904595992222728,74727.0,0.9202466340602541,0.9191055441808181,0.9176920903779111,74727.0
bootstrap final results,-,-,"0.8685 (0.8527, 0.8824)",-,-,-,"0.9416 (0.9343, 0.9494)",-,"0.9191 (0.9105, 0.9285)",-,-,-,-,-,-,"0.9179 (0.9085, 0.9277)",-
