fold,test_day,validation_day,accuracy,threat_precision,threat_recall,threat_f1,roc_auc_raw,brier_raw,brier_calibrated,threshold,validation_threat_recall,validation_false_alerts,true_threats,correct_threats,missed_threats,false_proximity_alerts,correct_non_threats,confusion_tp,confusion_fn,confusion_fp,confusion_tn,total
1,2023-06-16,2023-06-25,0.9035198784502406,0.882700110660273,0.8434966513923158,0.8626532083633742,0.946052972209262,0.07617723712780519,0.07159401066278703,0.46,0.9050420168067227,124,2837,2393,444,318,4743,2393,444,318,4743,7898
2,2023-06-17,2023-06-25,0.9210770659238626,0.8907749077490775,0.862759113652609,0.8765432098765432,0.9668664033706736,0.06190802313359275,0.05861052807782399,0.38,0.9025210084033614,132,2798,2414,384,296,5522,2414,384,296,5522,8616
3,2023-06-18,2023-06-25,0.8949628597957289,0.7887456774599183,0.9150255288110868,0.8472058078676347,0.9660927123371496,0.06039581957863213,0.05810118802378001,0.17,0.9285714285714286,220,2742,2509,233,672,5202,2509,233,672,5202,8616
4,2023-06-19,2023-06-25,0.9042479108635098,0.8816925734024179,0.7875048206710374,0.8319413322468935,0.9320521494958361,0.08450305598434069,0.08102067066148481,0.27,0.9210084033613445,205,2593,2042,551,274,5749,2042,551,274,5749,8616
5,2023-06-20,2023-06-25,0.8962395543175488,0.9021428571428571,0.8029243483788938,0.8496468213925328,0.9568972700890601,0.08445632294151446,0.07928993627512151,0.38,0.9008403361344538,126,3146,2526,620,274,5196,2526,620,274,5196,8616
6,2023-06-21,2023-06-25,0.9330869737363072,0.8617424242424242,0.8943488943488943,0.877742946708464,0.971684930887385,0.04792102545088297,0.04512894834513192,0.28,0.9067226890756303,140,2035,1820,215,292,5250,1820,215,292,5250,7577
7,2023-06-22,2023-06-25,0.882711038961039,0.8157653528872594,0.9100204498977505,0.860318994683422,0.9517927376715741,0.07654542892631339,0.07375663408743173,0.34,0.9050420168067227,136,978,890,88,201,1285,890,88,201,1285,2464
8,2023-06-23,2023-06-25,0.9184076137418756,0.9259259259259259,0.8265167007498296,0.8734017648118134,0.9577711890860938,0.06881563288159126,0.06669755064102567,0.38,0.907563025210084,129,2934,2425,509,194,5488,2425,509,194,5488,8616
9,2023-06-24,2023-06-25,0.9170148560817084,0.8752041816399869,0.8894422310756972,0.8822657665074922,0.9707197559986085,0.06297740611184158,0.05921089325287249,0.39,0.9092436974789916,147,3012,2679,333,382,5222,2679,333,382,5222,8616
10,2023-06-25,2023-06-24,0.9378409976617303,0.8257292445774121,0.9277310924369748,0.8737633557578156,0.9783738152795364,0.03753551354740447,0.03646531444299278,0.29000000000000004,0.9219787516600265,518,1190,1104,86,233,3709,1104,86,233,3709,5132
