fold,test_day,representation,n_features,accuracy,threat_precision,threat_recall,threat_f1,auc,false_proximity_alerts,missed_threats,confusion_matrix,fold_runtime_seconds
1,2023-06-16,top_500,500,0.9012408204608762,0.9019148104728409,0.8135354247444484,0.8554484803558191,0.9440484182504639,251,529,"[[2308, 529], [251, 4810]]",830.822093963623
1,2023-06-16,top_1000,1000,0.9064320081033173,0.9084890965732088,0.8223475502291152,0.8632747456059204,0.9447854956976421,235,504,"[[2333, 504], [235, 4826]]",1073.805807352066
1,2023-06-16,top_1500,1500,0.9085844517599392,0.9135705905357842,0.8234050052872753,0.8661475713756025,0.9453884672557018,221,501,"[[2336, 501], [221, 4840]]",1441.709490776062
2,2023-06-17,top_500,500,0.9216573816155988,0.9010200226671704,0.8523945675482487,0.8760330578512396,0.9665168989488391,262,413,"[[2385, 413], [262, 5556]]",816.475724697113
2,2023-06-17,top_1000,1000,0.9232822655524605,0.9064282997337391,0.8516797712651895,0.8782015846692464,0.9667186648814369,246,415,"[[2383, 415], [246, 5572]]",1057.7262144088745
2,2023-06-17,top_1500,1500,0.9251392757660167,0.911348872755063,0.8523945675482487,0.8808864265927978,0.9675477818831946,232,413,"[[2385, 413], [232, 5586]]",1416.217971086502
3,2023-06-18,top_500,500,0.9254874651810585,0.9060324825986079,0.8544857768052516,0.8795045045045045,0.967577640044633,243,399,"[[2343, 399], [243, 5631]]",888.4331393241882
3,2023-06-18,top_1000,1000,0.9249071494893222,0.9008802143130501,0.8584974471188913,0.8791783380018674,0.9656703054442339,259,388,"[[2354, 388], [259, 5615]]",1174.4629933834076
3,2023-06-18,top_1500,1500,0.9243268337975858,0.8991596638655462,0.8584974471188913,0.8783582089552239,0.9660088642429506,264,388,"[[2354, 388], [264, 5610]]",1630.9948315620422
4,2023-06-19,top_500,500,0.9045961002785515,0.9347079037800687,0.7342846124180485,0.822462203023758,0.9310943222595938,133,689,"[[1904, 689], [133, 5890]]",1822.9377896785736
